sku_id,stock_level,last_updated,warehouse_location
SKU_000001,0,2025-08-07 14:11:50.766403,Central
SKU_000002,106,2025-08-08 04:11:50.767059,Central
SKU_000003,699,2025-08-08 03:11:50.767125,Central
SKU_000004,984,2025-08-08 06:11:50.767166,Central
SKU_000005,987,2025-08-08 06:11:50.767203,Central
SKU_000006,821,2025-08-08 09:11:50.767238,East
SKU_000007,632,2025-08-07 19:11:50.767272,South
SKU_000008,128,2025-08-07 22:11:50.767305,North
SKU_000009,20,2025-08-07 23:11:50.767338,South
SKU_000010,159,2025-08-07 23:11:50.767371,West
SKU_000011,98,2025-08-07 21:11:50.767404,East
SKU_000012,698,2025-08-07 14:11:50.767437,Central
SKU_000013,187,2025-08-07 12:11:50.767482,East
SKU_000014,58,2025-08-08 11:11:50.767516,North
SKU_000015,961,2025-08-08 00:11:50.767759,Central
SKU_000016,232,2025-08-07 20:11:50.767798,North
SKU_000017,896,2025-08-07 22:11:50.767832,Central
SKU_000018,485,2025-08-08 08:11:50.767866,West
SKU_000019,827,2025-08-08 10:11:50.767923,West
SKU_000020,318,2025-08-08 01:11:50.767980,North
SKU_000021,815,2025-08-07 13:11:50.768023,East
SKU_000022,45,2025-08-07 22:11:50.768058,Central
SKU_000023,981,2025-08-07 23:11:50.768327,East
SKU_000024,984,2025-08-07 13:11:50.768395,East
SKU_000025,203,2025-08-07 22:11:50.768435,Central
SKU_000026,969,2025-08-07 18:11:50.768470,South
SKU_000027,636,2025-08-07 14:11:50.768506,East
SKU_000028,96,2025-08-07 13:11:50.768540,East
SKU_000029,975,2025-08-08 10:11:50.768574,West
SKU_000030,51,2025-08-07 16:11:50.768609,East
SKU_000031,0,2025-08-07 16:11:50.768647,South
SKU_000032,169,2025-08-07 14:11:50.768683,North
SKU_000033,722,2025-08-07 21:11:50.768716,North
SKU_000034,889,2025-08-07 15:11:50.768748,East
SKU_000035,0,2025-08-08 07:11:50.768781,North
SKU_000036,871,2025-08-07 15:11:50.768814,West
SKU_000037,315,2025-08-07 13:11:50.768856,West
SKU_000038,332,2025-08-07 18:11:50.768888,West
SKU_000039,753,2025-08-07 21:11:50.768920,Central
SKU_000040,563,2025-08-08 06:11:50.768955,West
SKU_000041,437,2025-08-07 18:11:50.768987,West
SKU_000042,70,2025-08-07 12:11:50.769019,North
SKU_000043,434,2025-08-08 04:11:50.769051,North
SKU_000044,427,2025-08-08 05:11:50.769083,West
SKU_000045,361,2025-08-07 14:11:50.769117,South
SKU_000046,328,2025-08-08 02:11:50.769149,Central
SKU_000047,584,2025-08-07 14:11:50.769180,Central
SKU_000048,0,2025-08-08 00:11:50.769212,West
SKU_000049,981,2025-08-07 11:11:50.769243,West
SKU_000050,0,2025-08-07 14:11:50.769275,South
SKU_000051,900,2025-08-07 23:11:50.769307,Central
SKU_000052,455,2025-08-08 07:11:50.769340,South
SKU_000053,69,2025-08-08 08:11:50.769372,Central
SKU_000054,664,2025-08-07 18:11:50.769404,West
SKU_000055,489,2025-08-08 02:11:50.769454,West
SKU_000056,813,2025-08-08 02:11:50.769488,West
SKU_000057,14,2025-08-07 22:11:50.769521,North
SKU_000058,385,2025-08-08 08:11:50.769554,West
SKU_000059,404,2025-08-08 09:11:50.769587,Central
SKU_000060,546,2025-08-07 19:11:50.769619,North
SKU_000061,184,2025-08-07 18:11:50.769651,North
SKU_000062,940,2025-08-07 19:11:50.769683,East
SKU_000063,624,2025-08-08 09:11:50.769715,West
SKU_000064,107,2025-08-08 04:11:50.769747,South
SKU_000065,0,2025-08-07 22:11:50.769778,Central
SKU_000066,311,2025-08-08 00:11:50.769812,North
SKU_000067,848,2025-08-08 02:11:50.769844,West
SKU_000068,982,2025-08-07 14:11:50.769876,South
SKU_000069,812,2025-08-08 09:11:50.769907,South
SKU_000070,596,2025-08-08 01:11:50.769939,East
SKU_000071,933,2025-08-08 04:11:50.769981,North
SKU_000072,448,2025-08-08 06:11:50.770015,North
SKU_000073,519,2025-08-07 23:11:50.770047,East
SKU_000074,144,2025-08-07 15:11:50.770079,North
SKU_000075,122,2025-08-08 01:11:50.770112,West
SKU_000076,73,2025-08-08 01:11:50.770144,South
SKU_000077,978,2025-08-08 03:11:50.770175,East
SKU_000078,0,2025-08-08 07:11:50.770226,North
SKU_000079,0,2025-08-08 10:11:50.770259,Central
SKU_000080,749,2025-08-07 21:11:50.770291,East
SKU_000081,215,2025-08-08 10:11:50.770323,South
SKU_000082,0,2025-08-07 23:11:50.770355,West
SKU_000083,252,2025-08-08 10:11:50.770387,South
SKU_000084,0,2025-08-07 22:11:50.770419,North
SKU_000085,817,2025-08-07 13:11:50.770451,West
SKU_000086,0,2025-08-07 11:11:50.770483,North
SKU_000087,49,2025-08-07 12:11:50.770514,South
SKU_000088,905,2025-08-07 14:11:50.770546,East
SKU_000089,0,2025-08-07 15:11:50.770588,South
SKU_000090,52,2025-08-07 23:11:50.770623,East
SKU_000091,667,2025-08-07 14:11:50.770670,Central
SKU_000092,47,2025-08-08 05:11:50.770704,South
SKU_000093,643,2025-08-07 19:11:50.770736,West
SKU_000094,31,2025-08-07 12:11:50.770769,South
SKU_000095,501,2025-08-07 20:11:50.770801,South
SKU_000096,821,2025-08-08 00:11:50.770834,North
SKU_000097,987,2025-08-07 20:11:50.770866,East
SKU_000098,547,2025-08-08 07:11:50.770899,West
SKU_000099,933,2025-08-07 21:11:50.770931,Central
SKU_000100,368,2025-08-07 14:11:50.770964,West
SKU_000101,372,2025-08-07 12:11:50.770996,North
SKU_000102,0,2025-08-08 10:11:50.771028,East
SKU_000103,747,2025-08-08 06:11:50.771060,East
SKU_000104,977,2025-08-07 19:11:50.771092,West
SKU_000105,397,2025-08-07 16:11:50.771124,East
SKU_000106,0,2025-08-07 20:11:50.771155,East
SKU_000107,551,2025-08-08 06:11:50.771187,East
SKU_000108,618,2025-08-08 01:11:50.771219,West
SKU_000109,0,2025-08-07 21:11:50.771251,Central
SKU_000110,349,2025-08-07 16:11:50.771284,South
SKU_000111,343,2025-08-08 11:11:50.771316,Central
SKU_000112,394,2025-08-08 00:11:50.771349,East
SKU_000113,851,2025-08-07 23:11:50.771381,South
SKU_000114,572,2025-08-08 07:11:50.771415,North
SKU_000115,370,2025-08-07 11:11:50.771447,North
SKU_000116,190,2025-08-07 17:11:50.771479,North
SKU_000117,0,2025-08-07 16:11:50.771512,North
SKU_000118,576,2025-08-07 13:11:50.771544,South
SKU_000119,448,2025-08-08 06:11:50.771577,South
SKU_000120,19,2025-08-08 01:11:50.771609,North
SKU_000121,558,2025-08-07 16:11:50.771642,South
SKU_000122,0,2025-08-07 21:11:50.771689,South
SKU_000123,684,2025-08-07 14:11:50.771723,North
SKU_000124,905,2025-08-07 18:11:50.771755,South
SKU_000125,25,2025-08-08 07:11:50.771788,West
SKU_000126,748,2025-08-08 09:11:50.771821,South
SKU_000127,0,2025-08-07 15:11:50.771852,West
SKU_000128,333,2025-08-07 14:11:50.771885,East
SKU_000129,288,2025-08-07 13:11:50.771917,North
SKU_000130,587,2025-08-07 22:11:50.771951,East
SKU_000131,515,2025-08-07 11:11:50.771990,West
SKU_000132,47,2025-08-07 23:11:50.772022,South
SKU_000133,931,2025-08-08 06:11:50.772054,South
SKU_000134,882,2025-08-07 13:11:50.772088,North
SKU_000135,0,2025-08-08 01:11:50.772121,North
SKU_000136,775,2025-08-07 15:11:50.772152,North
SKU_000137,842,2025-08-07 18:11:50.772184,East
SKU_000138,326,2025-08-08 06:11:50.772217,South
SKU_000139,0,2025-08-07 20:11:50.772248,Central
SKU_000140,454,2025-08-07 12:11:50.772280,North
SKU_000141,0,2025-08-08 08:11:50.772312,South
SKU_000142,500,2025-08-08 01:11:50.772343,West
SKU_000143,596,2025-08-08 02:11:50.772375,North
SKU_000144,334,2025-08-08 00:11:50.772407,North
SKU_000145,187,2025-08-08 05:11:50.772440,North
SKU_000146,224,2025-08-08 08:11:50.772471,South
SKU_000147,46,2025-08-08 00:11:50.772503,Central
SKU_000148,733,2025-08-08 10:11:50.772535,Central
SKU_000149,692,2025-08-07 20:11:50.772567,West
SKU_000150,690,2025-08-07 23:11:50.772620,Central
SKU_000151,94,2025-08-08 02:11:50.772654,North
SKU_000152,602,2025-08-07 13:11:50.772687,North
SKU_000153,973,2025-08-08 06:11:50.772719,East
SKU_000154,881,2025-08-07 19:11:50.772751,Central
SKU_000155,587,2025-08-08 04:11:50.772783,Central
SKU_000156,11,2025-08-08 05:11:50.772816,South
SKU_000157,0,2025-08-07 19:11:50.772848,West
SKU_000158,802,2025-08-07 16:11:50.772880,North
SKU_000159,393,2025-08-07 17:11:50.772912,Central
SKU_000160,458,2025-08-07 22:11:50.772943,South
SKU_000161,87,2025-08-08 03:11:50.772975,South
SKU_000162,342,2025-08-08 09:11:50.773008,West
SKU_000163,574,2025-08-08 00:11:50.773040,North
SKU_000164,211,2025-08-07 20:11:50.773073,North
SKU_000165,246,2025-08-07 21:11:50.773105,South
SKU_000166,681,2025-08-08 04:11:50.773137,West
SKU_000167,623,2025-08-08 08:11:50.773169,North
SKU_000168,326,2025-08-08 07:11:50.773201,South
SKU_000169,787,2025-08-08 07:11:50.773234,Central
SKU_000170,697,2025-08-08 05:11:50.773266,North
SKU_000171,647,2025-08-08 04:11:50.773298,East
SKU_000172,263,2025-08-07 17:11:50.773331,South
SKU_000173,380,2025-08-07 12:11:50.773362,Central
SKU_000174,651,2025-08-08 03:11:50.773396,South
SKU_000175,879,2025-08-07 14:11:50.773436,South
SKU_000176,973,2025-08-08 00:11:50.773469,Central
SKU_000177,330,2025-08-07 17:11:50.773501,East
SKU_000178,613,2025-08-07 21:11:50.773533,North
SKU_000179,21,2025-08-07 15:11:50.773564,West
SKU_000180,450,2025-08-08 00:11:50.773596,Central
SKU_000181,136,2025-08-07 15:11:50.773629,East
SKU_000182,381,2025-08-08 08:11:50.773661,East
SKU_000183,788,2025-08-08 08:11:50.773692,South
SKU_000184,41,2025-08-08 00:11:50.773725,West
SKU_000185,0,2025-08-07 21:11:50.773757,East
SKU_000186,222,2025-08-07 11:11:50.773789,West
SKU_000187,695,2025-08-07 13:11:50.773821,Central
SKU_000188,959,2025-08-08 03:11:50.773853,North
SKU_000189,169,2025-08-08 07:11:50.773886,North
SKU_000190,717,2025-08-07 15:11:50.773919,Central
SKU_000191,234,2025-08-08 11:11:50.773951,West
SKU_000192,614,2025-08-08 05:11:50.773988,South
SKU_000193,642,2025-08-08 06:11:50.774022,North
SKU_000194,920,2025-08-08 07:11:50.774055,North
SKU_000195,360,2025-08-08 00:11:50.774087,Central
SKU_000196,93,2025-08-08 05:11:50.774120,North
SKU_000197,456,2025-08-07 11:11:50.774153,South
SKU_000198,457,2025-08-07 11:11:50.774185,North
SKU_000199,98,2025-08-08 08:11:50.774218,Central
SKU_000200,54,2025-08-08 04:11:50.774249,East
SKU_000201,509,2025-08-08 08:11:50.774282,East
SKU_000202,765,2025-08-08 05:11:50.774316,South
SKU_000203,63,2025-08-07 11:11:50.774348,Central
SKU_000204,445,2025-08-07 18:11:50.774381,Central
SKU_000205,569,2025-08-08 02:11:50.774415,Central
SKU_000206,3,2025-08-08 03:11:50.774447,Central
SKU_000207,407,2025-08-08 01:11:50.774479,South
SKU_000208,304,2025-08-07 16:11:50.774511,North
SKU_000209,746,2025-08-08 07:11:50.774544,West
SKU_000210,298,2025-08-07 12:11:50.774576,North
SKU_000211,274,2025-08-07 20:11:50.774609,South
SKU_000212,870,2025-08-08 10:11:50.774641,West
SKU_000213,563,2025-08-08 07:11:50.774673,West
SKU_000214,643,2025-08-07 20:11:50.774705,West
SKU_000215,663,2025-08-07 11:11:50.774739,South
SKU_000216,0,2025-08-07 17:11:50.774771,West
SKU_000217,0,2025-08-07 14:11:50.774803,South
SKU_000218,634,2025-08-08 01:11:50.774835,North
SKU_000219,22,2025-08-07 11:11:50.774868,West
SKU_000220,902,2025-08-07 23:11:50.774901,East
SKU_000221,434,2025-08-08 08:11:50.774949,North
