sku_id,category,base_price,brand,product_name
SKU_000001,Toys,597.41,"Fowler, Rivera and Chung",Multi-layered asynchronous help-desk
SKU_000002,Home & Kitchen,971.96,"Jackson, Perez and Moore",Proactive tertiary hardware
SKU_000003,Automotive,332.89,"Perkins, Martinez and Anthony",Seamless non-volatile parallelism
SKU_000004,Automotive,476.99,Pennington PLC,Pre-emptive tertiary Graphic Interface
SKU_000005,Automotive,198.45,Burch-Jones,Visionary context-sensitive interface
SKU_000006,Automotive,815.25,"Woodard, Brown and Santos",Fully-configurable dedicated open architecture
SKU_000007,Electronics,67.73,"Watkins, Mclaughlin and Richards",Versatile logistical instruction set
SKU_000008,Toys,933.23,"Serrano, Walton and Smith",Digitized empowering adapter
SKU_000009,Toys,760.58,Blevins-Cross,Reverse-engineered optimal parallelism
SKU_000010,Fashion,118.95,Braun-Wilson,Extended bi-directional framework
SKU_000011,Sports,960.77,Reid-Evans,Distributed attitude-oriented framework
SKU_000012,Automotive,763.59,Wallace PLC,Multi-tiered tangible encoding
SKU_000013,Home & Kitchen,121.71,"Harrison, Pena and Deleon",Mandatory eco-centric middleware
SKU_000014,Books,427.64,Allen-Jimenez,Progressive mission-critical installation
SKU_000015,Automotive,714.51,Lewis PLC,Right-sized incremental project
SKU_000016,Home & Kitchen,938.96,Davies-Lawson,Integrated attitude-oriented protocol
SKU_000017,Books,439.41,"Dodson, Buchanan and Allen",Reduced encompassing encryption
SKU_000018,Sports,371.86,Gibson-Wiggins,Triple-buffered static infrastructure
SKU_000019,Fashion,975.74,"Roman, Kerr and Allen",Stand-alone non-volatile monitoring
SKU_000020,Toys,706.3,"Martin, Cole and Bass",Monitored next generation concept
SKU_000021,Automotive,902.01,Hanson-White,Diverse demand-driven emulation
SKU_000022,Electronics,448.48,"Hill, Thompson and Ryan",Versatile solution-oriented paradigm
SKU_000023,Books,934.33,Pace-Coffey,Customizable multimedia parallelism
SKU_000024,Home & Kitchen,212.28,Taylor Group,Managed national paradigm
SKU_000025,Sports,395.93,Rivers-Morrow,Virtual dynamic neural-net
SKU_000026,Fashion,491.62,Wilkins Inc,Right-sized zero tolerance installation
SKU_000027,Fashion,607.53,"Martinez, Simon and Smith",Mandatory multi-tasking definition
SKU_000028,Toys,573.59,Reyes-Prince,Self-enabling responsive parallelism
SKU_000029,Home & Kitchen,786.3,Walker-Spears,Cross-platform object-oriented success
SKU_000030,Electronics,611.88,Brown-Savage,Diverse encompassing migration
SKU_000031,Books,243.42,"Lang, Jacobs and Sellers",Innovative 4thgeneration extranet
SKU_000032,Sports,230.0,Garcia Ltd,Extended client-driven archive
SKU_000033,Toys,207.57,"Walker, Chan and Allen",Cloned 24hour superstructure
SKU_000034,Home & Kitchen,164.59,"Brooks, Wall and Ryan",Networked encompassing archive
SKU_000035,Fashion,317.95,"Patel, Roberts and Thomas",Adaptive tangible attitude
SKU_000036,Fashion,141.73,Contreras Inc,Fully-configurable asymmetric complexity
SKU_000037,Electronics,814.06,"Sims, Barton and George",Robust value-added focus group
SKU_000038,Home & Kitchen,422.95,"Gonzalez, Mitchell and Johnson",Integrated 24/7 throughput
SKU_000039,Beauty,909.58,Johnson-Bell,Upgradable motivating task-force
SKU_000040,Sports,682.53,"Berry, Kramer and Walker",Configurable high-level open system
SKU_000041,Books,991.1,"Dennis, Fleming and Mason",Ameliorated tertiary info-mediaries
SKU_000042,Beauty,480.98,"Walker, Kennedy and Maddox",Expanded reciprocal knowledge user
SKU_000043,Beauty,757.27,Hubbard-Tucker,Balanced bi-directional workforce
SKU_000044,Beauty,619.59,"Williams, Williams and Wilson",Fully-configurable solution-oriented hardware
SKU_000045,Fashion,18.95,"Munoz, Johnston and Scott",Customizable intangible throughput
SKU_000046,Automotive,799.95,Giles PLC,Reverse-engineered tertiary methodology
SKU_000047,Electronics,253.07,"Landry, Parks and Weber",Realigned global access
SKU_000048,Toys,632.47,Patterson-Freeman,Intuitive eco-centric throughput
SKU_000049,Fashion,605.98,Hogan Group,Triple-buffered asynchronous alliance
SKU_000050,Books,462.04,Hudson-Jones,Profound didactic database
SKU_000051,Electronics,265.22,Sanders Group,Organic demand-driven initiative
SKU_000052,Beauty,222.29,Pacheco PLC,Persistent background hardware
SKU_000053,Beauty,923.19,"Martin, Montes and Oneill",Team-oriented interactive project
SKU_000054,Automotive,577.79,Duncan-Santos,Re-contextualized user-facing migration
SKU_000055,Toys,428.34,Rogers-Fox,Stand-alone impactful database
SKU_000056,Toys,711.69,Benton-Benson,Digitized 3rdgeneration software
SKU_000057,Books,629.53,Perry-Lambert,Optimized cohesive model
SKU_000058,Beauty,18.45,Aguilar-Smith,Expanded object-oriented open architecture
SKU_000059,Sports,175.43,"Wise, Harris and Guerrero",Multi-tiered didactic middleware
SKU_000060,Home & Kitchen,229.61,Everett-Bailey,Integrated real-time moderator
SKU_000061,Electronics,911.28,Warren-Silva,Re-engineered intermediate software
SKU_000062,Electronics,128.03,Guerrero-Williams,Vision-oriented fault-tolerant implementation
SKU_000063,Books,659.12,Hull LLC,Distributed contextually-based matrices
SKU_000064,Sports,368.76,"Flores, Martinez and Gillespie",Balanced intangible implementation
SKU_000065,Toys,397.76,Mahoney LLC,Up-sized value-added analyzer
SKU_000066,Beauty,817.46,Cohen-Ward,Upgradable leadingedge utilization
SKU_000067,Books,942.7,Hopkins-Nelson,Operative object-oriented standardization
SKU_000068,Electronics,738.95,"White, Rogers and Chavez",Focused bi-directional frame
SKU_000069,Fashion,930.67,Byrd Group,Public-key disintermediate knowledgebase
SKU_000070,Beauty,364.77,"Wright, Holloway and Lopez",Configurable 24hour productivity
SKU_000071,Toys,305.84,Rush PLC,Adaptive stable project
SKU_000072,Electronics,839.31,Smith Ltd,Digitized dynamic archive
SKU_000073,Sports,880.65,Diaz-Wang,Horizontal multi-tasking service-desk
SKU_000074,Beauty,836.32,Middleton-Freeman,Proactive intermediate superstructure
SKU_000075,Books,201.75,"Caldwell, Sanchez and Perry",Multi-lateral content-based alliance
SKU_000076,Fashion,33.3,Finley Inc,Versatile real-time artificial intelligence
SKU_000077,Electronics,305.19,Mosley-Perry,Public-key empowering success
SKU_000078,Home & Kitchen,369.17,Parker-Johnson,Persistent 3rdgeneration emulation
SKU_000079,Sports,49.09,Flores-Weaver,Multi-tiered impactful collaboration
SKU_000080,Fashion,703.59,"Potter, Little and Stanton",Versatile content-based methodology
SKU_000081,Sports,884.01,"Patton, Wilson and Kim",Persevering disintermediate capability
SKU_000082,Books,558.79,Carlson Group,Phased web-enabled migration
SKU_000083,Beauty,967.38,Farrell Inc,Polarized dedicated concept
SKU_000084,Books,205.93,Chambers-Adams,Assimilated user-facing model
SKU_000085,Automotive,362.46,Hernandez and Sons,Customer-focused reciprocal approach
SKU_000086,Toys,391.03,"Riley, Porter and Watson",Inverse executive contingency
SKU_000087,Toys,125.54,"Walsh, Kelly and Brown",Face-to-face intangible standardization
SKU_000088,Books,388.92,Stephens and Sons,Operative transitional open system
SKU_000089,Sports,78.29,Lewis-Lee,Enterprise-wide bottom-line conglomeration
SKU_000090,Beauty,789.32,Owen-Hester,Versatile homogeneous throughput
SKU_000091,Electronics,250.44,Obrien-Patterson,Down-sized actuating solution
SKU_000092,Home & Kitchen,253.97,"Willis, Blevins and James",Exclusive systematic open architecture
SKU_000093,Fashion,151.72,Mathis and Sons,Realigned impactful functionalities
SKU_000094,Automotive,843.95,"Reed, Ortiz and Price",Streamlined systemic productivity
SKU_000095,Electronics,212.35,Bradley-Smith,Customizable empowering access
SKU_000096,Electronics,356.13,Alvarez-Cherry,Stand-alone static frame
SKU_000097,Home & Kitchen,533.75,"Garcia, Howell and Long",Inverse systemic archive
SKU_000098,Toys,695.97,Flores-Fletcher,Persistent hybrid hub
SKU_000099,Home & Kitchen,34.05,"Burgess, Burns and Daniels",Triple-buffered asymmetric artificial intelligence
SKU_000100,Automotive,428.55,Kent PLC,Profit-focused composite contingency
SKU_000101,Toys,174.45,Ramsey and Sons,Multi-channeled encompassing support
SKU_000102,Home & Kitchen,362.84,James Ltd,Up-sized 6thgeneration customer loyalty
SKU_000103,Automotive,466.53,"Bartlett, Lopez and Lindsey",Phased context-sensitive focus group
SKU_000104,Beauty,174.16,Sellers-Miller,Organic 3rdgeneration challenge
SKU_000105,Home & Kitchen,170.68,"Allison, Rivera and Maynard",Mandatory 24/7 attitude
SKU_000106,Books,962.0,Monroe Ltd,Assimilated holistic knowledge user
SKU_000107,Home & Kitchen,813.63,"Roberts, Caldwell and Quinn",Inverse systematic function
SKU_000108,Fashion,590.37,Smith-Smith,Configurable modular alliance
SKU_000109,Electronics,949.39,Harris-Mccormick,Ergonomic user-facing monitoring
SKU_000110,Automotive,891.96,"Beck, Gordon and Kim",Optional multi-state workforce
SKU_000111,Books,759.39,Dunn-Gillespie,Mandatory radical hardware
SKU_000112,Toys,436.12,Weaver Inc,Cross-group content-based matrix
SKU_000113,Fashion,346.65,Vargas-Moore,Switchable stable core
SKU_000114,Electronics,506.09,Ford-Conner,Team-oriented bi-directional encryption
SKU_000115,Sports,531.12,"Nicholson, Sloan and Liu",Synchronized scalable productivity
SKU_000116,Home & Kitchen,54.49,"Lucero, Wong and Mitchell",Cross-platform zero tolerance monitoring
SKU_000117,Home & Kitchen,532.93,Cox LLC,Distributed stable artificial intelligence
SKU_000118,Toys,356.25,Brown-Rose,Proactive optimal solution
SKU_000119,Books,826.11,Garza PLC,Distributed bi-directional core
